"No_roots","mean_all","mean_gt1","mean_gt2","mean_gt25","mean_gt3","mean_gt35","mean_gt4","mean_lt05","mean_lt1","mean_lt15","mean_lt2","maxValue","minValue","cultivar","sheetNames","phenotype","Lines"
25,3.144056,3.49636818181818,4.69732857142857,5.07101666666667,5.83424444444444,5.83424444444444,6.39972857142857,0.560433333333333,0.560433333333333,0.9697125,1.16716363636364,8.4644,0.3056,"L33","4_Feb 3233_4","B","BL3343"
20,3.362285,3.53191578947368,5.14439090909091,5.14439090909091,5.38268,6.34264285714286,6.34264285714286,0.1393,0.1393,0.930983333333333,1.18415555555556,10.2058,0.1393,"L33","4_Feb 3233_4","TB","TBL3344"
21,3.50135714285714,3.640495,5.05079166666667,6.5015,7.01312857142857,7.66371666666667,7.66371666666667,0.7186,0.7186,1.116725,1.43544444444444,13.7815,0.7186,"L33","4_Feb 3233_4","B","BL3345"
31,2.72752903225806,3.299572,4.32731875,4.79084615384615,4.96254166666667,5.12688181818182,5.457,0.344016666666667,0.344016666666667,0.68267,1.02108666666667,8.1244,0.0971,"L33","4_Feb 3233_4","T","TL3346"
25,2.334164,2.90686842105263,3.47876153846154,3.85222,4.13555,4.27458571428571,4.7422,0.45016,0.5206,0.634085714285714,1.09418333333333,5.4575,0.1177,"L33","4_Feb 3233_4","T","TL3347"
20,2.84035,3.60665333333333,4.68099,4.68099,5.46607142857143,5.46607142857143,5.77293333333333,0.329866666666667,0.54144,0.8376625,0.99971,6.9275,0.0786,"L33","4_Feb 3233_4","B","BL3348"
26,3.23303076923077,3.87454761904762,4.23702777777778,4.79231428571429,4.96029230769231,5.29720909090909,5.29720909090909,0.463925,0.53866,0.682183333333333,0.9740375,6.9429,0.1957,"L34","4_Feb 3233_4","T","TL3449"
20,3.19616,3.8765,4.41533076923077,4.59871666666667,5.5898625,5.89488571428571,6.2936,0.364366666666667,0.4748,0.60522,0.931985714285714,11.0029,0.1729,"L34","4_Feb 3233_4","TB","TBL3450"
20,3.150155,4.21512142857143,4.74385,5.2324,5.85255,5.85255,6.14257142857143,0.2202,0.665233333333333,0.7596125,0.7596125,10.6428,0.154,"L34","4_Feb 3233_4","T","TL3451"
31,2.32811935483871,2.85605416666667,3.74334285714286,4.322,5.34808333333333,5.34808333333333,5.34808333333333,0.457216666666667,0.518057142857143,0.73108,1.16264117647059,6.3057,0.1503,"L34","4_Feb 3233_4","T","TL3452"
28,1.84319285714286,2.63737222222222,3.77654444444444,3.77654444444444,3.8825875,4.24198,4.46753333333333,0.364144444444444,0.41367,0.620314285714286,0.927394736842105,4.8741,0.1304,"L34","4_Feb 3233_4","T","TL3453"
17,2.66778235294118,3.36956153846154,3.88158,4.05923333333333,4.2057,4.57063333333333,5.01645,0.387,0.387,0.55706,0.933785714285714,5.89,0.1076,"L34","4_Feb 3233_4","TB","TBL3454"
25,2.201812,2.89931666666667,3.80393636363636,3.93519,4.7555,5.09646,5.09646,0.408228571428571,0.408228571428571,0.793325,0.943,5.8246,0.1415,"L34","4_Feb 3233_4","T","TL3455"
